job_id,title,company,location,description,tags,platform,date_posted,salary_min,salary_max,source_type
1,Junior Analytics Engineer,Cisco,"Bangalore, India","Join us as a Junior Analytics Engineer and help shape how we use data across the organization. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: excel, sqlite, databricks, tableau, airflow. Nice to have: data warehouse, mongodb, redis.","excel, sqlite, databricks, tableau, airflow",Monster,2026-06-26,25000.0,41000.0,synthetic
2,Staff MLOps Engineer,IBM,Remote,"Our company is hiring a Staff MLOps Engineer to help drive data-informed decisions. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: seaborn, huggingface, terraform, data warehouse, scikit-learn. Nice to have: bigquery, openai, redis.","seaborn, huggingface, terraform, data warehouse, scikit-learn",Indeed,2026-05-04,170000.0,287000.0,synthetic
3,Lead Research Scientist,Salesforce,"Bangalore, India","As a Lead Research Scientist, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: machine learning, classification, fine-tuning, scikit-learn, spacy. Nice to have: tensorflow, supervised learning, rag.","machine learning, classification, fine-tuning, scikit-learn, spacy",LinkedIn,2026-03-06,59000.0,100000.0,synthetic
4,Research Scientist,eBay,"Berlin, Germany","We are looking for a Research Scientist to join our growing data team. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: go, matlab, javascript, recommendation systems, llm. Nice to have: fine-tuning, hypothesis testing, data science.","go, matlab, javascript, recommendation systems, llm",Indeed,2026-05-22,96000.0,164000.0,synthetic
5,Business Intelligence Analyst,Airbnb,"Toronto, Canada","As a Business Intelligence Analyst, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: mongodb, pyspark, r, javascript, etl. Nice to have: postgresql, golang, data warehouse.","mongodb, pyspark, r, javascript, etl",LinkedIn,2025-10-07,63000.0,108000.0,synthetic
6,Junior Statistician,McKinsey & Company,"Atlanta, GA","Join us as a Junior Statistician and help shape how we use data across the organization. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: time series, classification, nlp, rag, rust. Nice to have: excel, google sheets, natural language processing.","time series, classification, nlp, rag, rust",LinkedIn,2026-01-31,69000.0,116000.0,synthetic
7,Principal Data Engineer,BlueRiver Tech,"Pune, India","We're seeking an experienced Principal Data Engineer to build and scale our analytics capabilities. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: ec2, github actions, hadoop, flask, docker. Nice to have: mlops, mongodb, c#.","ec2, github actions, hadoop, flask, docker",Monster,2026-04-19,60000.0,101000.0,synthetic
8,Data Scientist,Capital One,"New York, NY","We're seeking an experienced Data Scientist to build and scale our analytics capabilities. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: c#, deep learning, data analysis, natural language processing, gradio. Nice to have: tensorflow, seaborn, java.","c#, deep learning, data analysis, natural language processing, gradio",Indeed,2026-01-19,109000.0,190000.0,synthetic
9,Junior Statistician,BrightPath Data,"Vancouver, Canada","Join us as a Junior Statistician and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: typescript, large language models, r, classification, neural networks. Nice to have: data analysis, reinforcement learning, recommendation systems.","typescript, large language models, r, classification, neural networks",Indeed,2026-05-07,54000.0,91000.0,synthetic
10,Principal MLOps Engineer,Instacart,"Bangalore, India","Our company is hiring a Principal MLOps Engineer to help drive data-informed decisions. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: dbt, s3, mongodb, redis, data pipeline. Nice to have: django, pytorch, github actions.","dbt, s3, mongodb, redis, data pipeline",Glassdoor,2025-12-05,65000.0,110000.0,synthetic
11,Business Intelligence Analyst,Beacon Data Partners,"Dublin, Ireland","We are looking for a Business Intelligence Analyst to join our growing data team. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: tableau, javascript, d3.js, c#, looker. Nice to have: c++, airflow, kafka.","tableau, javascript, d3.js, c#, looker",LinkedIn,2026-07-25,56000.0,96000.0,synthetic
