title,company,location,description,tags,platform,date_posted,salary_min,salary_max
The right person can still introduce themselves,OmeSync,"Division No. 11, ","Join a focused team working across digital products, operational platforms, and applied AI. We value clear thinking, dependable execution, and people who care about the work after it ships. Please mention the word **STEADFASTNESS** and tag RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","education, non tech, design, speech, admin, exec, digital nomad, ops",Remote OK,2026-08-05,,
Java Developer,Clera,Los Angeles,"About the Role We are an early-stage, venture-backed AI infrastructure company building production-ready Kubernetes-based systems for GPU-intensive workloads. Our platform helps companies go from bare metal to fully operational AI clusters in days, and we're looking for a Java Developer to join our small, high-impact engineering team. What You'll Do Understand customer requirements and translate them into robust, scalable Java-based solutions. Design, develop, and maintain backend services and infrastructure tooling that supports our distributed systems platform. Collaborate closely with product and infrastructure engineers to deliver features end-to-end. Contribute to the reliability and performance of systems handling AI inference pipelines, distributed training, storage orchestration, and GPU scheduling workloads. Participate in code reviews, architectural discussions, and continuous improvement of engineering practices. What We're Looking For Required: Solid hands-on experience with Java development and the JVM ecosystem. Familiarity with distributed systems concepts and cloud-native environments. Experience working with or around Kubernetes, containerization (Docker), or related infrastructure tooling. Strong problem-solving skills and ability to work effectively in a fast-paced, early-stage environment. Clear communication skills â we are a small team and direct collaboration matters. Nice to have: Experience with GitOps workflows or tools (e.g., Flux, ArgoCD). Exposure to GPU scheduling, ML infrastructure, or high-performance computing environments. Familiarity with open-source contribution practices. Experience in a startup or early-stage company setting. Compensation & Benefits Compensation details were not provided for this role. This is a full-time position at an early-stage, VC-backed company where equity participation is typical. Details will be discussed during the interview process. Location This role is based in Los Angeles, CA, USA . The company also has a presence in San Francisco, CA. Visa sponsorship is not available for this position. Please mention the word **MERRINESS** and tag RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","dev, design, education, docker, java, cloud, ops, sys admin, golang, engineer, backend, full time, digital nomad",Remote OK,2026-08-05,,
Stay Hungry. Stay Foolish. Serve Others,AS UNEXPECTED,"Mankota 45, ","Roy is an innovator in AI-powered recruitment. Moving to the US at 17, he earned degrees in CS, math, and finance from Virginia Tech before working as a derivatives trader on Wall Street during the 2008 financial crisis. His recruiting career took off at SmartRecruiters in San Francisco, where he served as Head of Marketplace and helped scale the company from pre-revenue to unicorn status. He since founded Jobs for Humanity to connect underserved communities with global employers. Today, Roy leads Kanz (ka.nz), the AI recruitment copilot that has scaled to 1 million job seekers. Kanz automates recruiting and delivers vetted candidates within days. Starting in KSA, Kanz is poised to be a standard for AI-powered recruitment in the Middle East. Please mention the word **PROSPER** and tag RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjYjI6MzIzMzoxNTY2OjZlZTI6YTA5Njo3ZTNm). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.","exec, full time, part time, sys admin, infosec, technical, customer support, marketing, finance, c, sales, medical, mobile, dev, chatbot, ops, legal, engineer, digital nomad, testing, api, hr, recruiter, math, ads, senior, golang",Remote OK,2026-08-05,,
"Analytics Engineer, GFCO Analytics",Coinbase,Remote,"Headquarters: Remote - USA Ready to do the most impactful work of your career? At Coinbase , we are uncompromising on our mission to increase economic freedom. The bar is high, the environment is intense, and we like it that way. This isn't a place for complacency, it’s a place to be pushed past your perceived limits. If you're ready to build the future of finance alongside people who refuse to settle for ""good enough,"" you belong here. Coinbase is a remote-first, but not remote-only company. Expect to get together quarterly for intense in-person working sessions called “surges.” learn more about working at Coinbase . We're hiring an Analytics Engineer to join the GFCO Analytics Engineering team and build the data foundations that power customer experience and compliance operations at Coinbase. You'll own end-to-end data pipelines, develop trusted metrics, and enable CX stakeholders to make faster, better decisions with clean, reliable data. This is a high-impact role where you'll directly influence how we serve and protect our customers while scaling our analytics capabilities. What you'll do: Own the design, build, and maintenance of data models and pipelines that support CX operations, compliance reporting, and customer insights, ensuring data is accurate, timely, and well-documented. Partner with CX Operations, Compliance, and Product teams to translate business needs into data requirements and deliver self-serve analytics solutions that reduce manual effort. Build and maintain dashboards, metrics, and reporting tools that give CX leaders visibility into performance, customer trends, and compliance health. Drive data quality and governance within the CX data domain by implementing testing, monitoring, and documentation standards that ensure stakeholder trust in the data. Identify opportunities to automate recurring data workflows and reporting processes, shifting the team from reactive requests toward scalable, self-serve solutions. Collaborate with broader Data Engineering and Analytics teams to align on best practices, share learnings, and contribute to Coinbase's overall data infrastructure. Required Skills and Experience: 3+ years of experience in analytics engineering, data engineering, or a related data role, with hands-on experience building and maintaining data pipelines and models. Proficiency in SQL and experience with modern data stack tools such as dbt, Airflow, and cloud data warehouses (Snowflake, Databricks, or similar). Experience with data modeling concepts (dimensional modeling, star/snowflake schemas) and building trusted, well-documented data products. Familiarity with BI/visualization tools (Looker, Tableau, or similar) and experience building dashboards and self-serve analytics solutions. Track record of partnering with non-technical stakeholders to translate business needs into data solutions, particularly in customer experience, operations, or compliance domains. Utilizes generative AI responsibly, maintaining human oversight to deliver business-ready outputs and drive measurable improvements in workflow efficiency, cost, and quality. Pay Transparency Notice: Base salary varies by location (see range below). Total compensation may also include equity and bonus eligibility, and benefits (medical, dental, vision, 401(k)). Annual base salary range (excluding equity and bonus): $152,405 — $179,300 USD Application Limit: Candidates may submit a maximum of 3 applications within a 6-month period. Equal Opportunity Employer: Coinbase is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or genetic information. Applicants with criminal histories will be considered consistent with applicable federal, state, and local laws. US Applicants: View Employee Rights , Know Your Rights , and E-Verify Notice of Participation. Accommodations: If you are an individual with a disability who needs a reasonable accommodation, email us your request and contact info at accommodations[at]coinbase.com. Need screen reading technology? Click here to download a free compatible screen reader and view the tutorial . Data Privacy & Arbitration: By submitting your application, you agree to our Candidate Privacy Notice . US applicants: By submitting your application, you agree to Arbitration of Disputes . To apply: https://weworkremotely.com/remote-jobs/coinbase-analytics-engineer-gfco-analytics",programming,We Work Remotely,"Wed, 22 Jul 2026",,
Enterprise Application AI Architect,"Gusto, Inc.",Remote,"Headquarters: Denver, CO;San Francisco, CA;New York, NY;Los Angeles, CA;Seattle, WA;Ontario, CAN - Remote;Toronto, Ontario, CAN - Remote;United States - Remote About Gusto At Gusto, we're on a mission to grow the small business economy. We handle the hard stuff — payroll, health insurance, 401(k)s, and HR — so owners can focus on their craft and their customers. With teams in Denver, San Francisco, and New York, we support more than 500,000 small businesses nationwide and are building a workplace that reflects the people we serve. All full-time employees receive competitive base pay, benefits, and equity (RSUs) — because everyone who helps build Gusto should share in its success. Offer amounts are determined by role, level, and location. Learn more about our Total Rewards philosophy . AI is a fundamental part of how work gets done at Gusto. We expect all team members to actively engage with AI tools relevant to their role and grow their fluency as the technology evolves. AI experience requirements vary by role and will be assessed during the interview process. About the Role: As the Enterprise Applications AI Architect, you will lead the integration of AI and automation across Gusto’s enterprise applications ecosystem, transforming how internal systems connect, communicate, and operate. Sitting within the IT and Enterprise Applications organization, you will partner closely with Product, Engineering, Finance, People Tech, and Operations to bridge business needs with AI driven solutions. You will act as the connector between business requirements and AI frameworks, designing Model Context Protocols (MCPs) and AI agents that make enterprise workflows smarter, faster, and more autonomous. In line with Gusto’s FY26 Enterprise Systems strategy, you will help shift our ERP and Finance systems from reactive workflows to predictive, context aware, and self improving platforms, while ensuring security, compliance, and measurable impact. This role combines hands-on technical execution with strategic systems thinking, using integration fluency, AI literacy, and business empathy to create the connective tissue that allows AI to seamlessly augment enterprise operations. About the Team: This role will report to the Enterprise AIT team, a group focused on driving the intelligent transformation of Gusto’s enterprise systems. The Enterprise AIT team is responsible for integrating AI, automation, and advanced analytics across our internal applications ecosystem to improve scalability, efficiency, and decision-making. Partnering closely with Finance, Business Ops, IT, and Security, the team enables Gusto’s enterprise systems to become smarter, more predictive, and more adaptive. This is a new role, designed to expand the team’s capacity to operationalize AI within enterprise workflows and support Gusto’s broader Enterprise Systems strategy. Here’s what you’ll do day-to-day: Translate business needs into AI workflows by partnering with Finance and Business Operations teams to identify automation opportunities and design agentic workflows that improve decision making and reduce manual effort. Develop and maintain Model Context Protocols (MCPs) that securely and reliably connect enterprise systems such as NetSuite, Zuora, and Jira to AI agents, with clear documentation and optimization. Create and manage intelligent agents that execute or augment core enterprise processes such as onboarding, billing support, and compliance monitoring using large language models and orchestration frameworks. Govern the full lifecycle of MCPs and agents, ensuring adherence to enterprise data governance, privacy, and security standards, including SOX compliance, auditability, and appropriate access controls. Measure and optimize impact by defining and tracking KPIs such as automation adoption, efficiency gains, agent accuracy, reliability, and cost performance, and using those insights to guide iteration. Enable and influence the organization by partnering with IT, Security, and business stakeholders to build reusable AI frameworks, coach teams on safe and effective AI driven workflows, and champion AI first practices across day to day operations. Here’s what we're looking for: 8+ years in Business Systems Analysis, Enterprise Applications, or Automation roles, with a track record of delivering impact in complex environments. Demonstrated experience building and maintaining integrations across systems such as Jira, NetSuite, or similar, with a strong grasp of APIs, JSON, and RESTful service design. Hands-on knowledge of AI agent frameworks (for example LangChain, CrewAI, Semantic Kernel, MCP) and experience designing or maintaining Model Context Protocols or equivalent frameworks. Familiarity with leading LLM platforms (OpenAI, Anthropic, Gemini etc.) and practical experience with prompt engineering. Proficiency in Python or JavaScript for automation, orchestration, and building modular, scalable AI workflows that translate complex requirements into executable solutions. Strong documentation, analytical, and stakeholder communication skills, with the ability to clearly explain tradeoffs and align technical solutions with business needs. Passion for building secure, compliant, and explainable AI systems, embedding risk, privacy, and compliance considerations (including SOX and audit controls) into every solution, with a growth mindset and focus on clarity, iteration, and measurable outcomes. Our cash compensation amount for this role is targeted at $175,000-$190,000 /yr in Denver & most remote locations, and $205,000-$225,000 /yr for San Francisco, Seattle & New York. Final offer amounts are determined by multiple factors, including candidate experience and expertise, and may vary from the amounts listed above. Gusto has physical office spaces in Denver, San Francisco, and New York City. Employees who are based in those locations will be expected to work from the office on designated days approximately 2-3 days per week (or more depending on role). The same office expectations apply to all Symmetry roles, Gusto's subsidiary, whose physical office is in Scottsdale. Note: The San Francisco office expectations encompass both the San Francisco and San Jose metro areas. When approved to work from a location other than a Gusto office, a secure, reliable, and consistent internet connection is required. This includes non-office days for hybrid employees. Our customers come from all walks of life and so do we. We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. If you share our values and our enthusiasm for small businesses, you will find a home at Gusto. Gusto is proud to be an equal opportunity employer. We do not discriminate in hiring or any employment decision based on race, color, religion, national origin, age, sex (including pregnancy, childbirth, or related medical conditions), marital status, ancestry, physical or mental disability, genetic information, veteran status, gender identity or expression, sexual orientation, or other applicable legally protected characteristic. Gusto considers qualified applicants with criminal histories, consistent with applicable federal, state and local law. Gusto is also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. We want to see our candidates perform to the best of their ability. If you require a medical or religious accommodation at any time throughout your candidate journey, please fill out this form and a member of our team will get in touch with you. Gusto takes security and protection of your personal information very seriously. Please review our Fraudulent Activity Disclaimer . Personal information collected and processed as part of your Gusto application will be subject to Gusto's Applicant Privacy Notice . To apply: https://weworkremotely.com/remote-jobs/gusto-inc-enterprise-application-ai-architect",programming,We Work Remotely,"Wed, 22 Jul 2026",,
"Backend Engineer, AI Security",Stripe,Remote,"Headquarters: New York, San Francisco, Seattle, or Remote (US/Canada) Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world's largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone's reach while doing the most important work of your career. About the team AI is moving fast and Stripe is moving fast to adopt it. But we need to make sure we do all of this safely, and for most of these tools, enterprise-grade security isn't just available off the shelf. That's where the AI security team comes in—we're responsible for building and partnering to create the right security primitives to enable Stripe to move fast safely. This is a team that works in the low-level components of our AI stack, so both infrastructure and security experience are pluses. This space is moving fast, so being comfortable with ambiguity and changes in priority is a must. This is a foundational role—you'd be the first engineer on the team. What you'll do Engineers on this team do a mixture of partnering and advising with teams building AI infrastructure and products, and building security infrastructure primitives for AI. One of our major focuses is building a security tooling layer that sits in the inference path, providing detection and protection against AI-specific threats like prompt injection, jailbreaks, and tool misuse. Responsibilities • Build security frameworks integrated with our core AI infrastructure • Design and implement defenses against AI-specific threats like prompt injection and jailbreaks • Collaborate with other engineering teams to ensure our AI infrastructure and products are built securely • Support other engineering teams in integrating security primitives • Uphold our high engineering standards and improve our codebase and processes • Design and build systems that help define the state of the art for AI security Who you are We're looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement. Minimum requirements • 5+ years of software development experience • Experience independently designing and developing medium-to-large projects • Experience working collaboratively across multiple engineering teams • Experience writing high-quality code in a major programming language • Ability to drive clear next steps when working in an ambiguous environment • Ability to think creatively and reason clearly in a complex problem domain Preferred qualifications • Experience developing, deploying, and maintaining reliable infrastructure systems • Experience in security engineering • Experience building AI agents or LLM-based systems To apply: https://weworkremotely.com/remote-jobs/stripe-backend-engineer-ai-security",programming,We Work Remotely,"Wed, 22 Jul 2026",,
️ Location Services Engineer | Maps Platform (Remote in Europe),MapTiler,Remote,"Headquarters: Zug, Switzerland URL: https://www.maptiler.com/ Full-time Remote in Europe Description Are you passionate about enhancing customer experiences through geospatial technology? MapTiler is seeking a Location Services Engineer to join our team of software engineers and data analysts. In this role, you'll drive innovation in map search, routing, elevation, and other products, collaborate with teams and stakeholders, and influence the future of our product. Take initiative in problem-solving, contribute to design and code reviews, and help deliver solutions that impact millions of users worldwide. If you're ready to make an impact, we'd love to hear from you! What are we doing Maintaining and optimizing the geocoding, routing, and other location services servers. Maintaining and improving local databases to continually improve search results and routing output. Coordinating the ingestion, transformation, and curation of raw geospatial data. Developing pipelines that convert large-scale data sources (e.g., Planet OSM PBF, Elevation data) into specialized data structures powering our location services. Managing releases, automated data processing pipelines, automated tests, and other core programming tasks. Monitoring the geocoding service, routing, and other location services and design targeted enhancements. Managing and integrating datasets for other MapTiler teams, such as elevation, address points, and routes. What we expect from you Ability to take ownership of the codebase and database, define requirements, set priorities, and drive progress with other team members. Hands-on expertise in programming, system design, and problem-solving. Cross-team collaboration and communication. Deep understanding of common data structures. Understanding the OpenStreetMap data model and its limits. Ability to work in a polyglot environment. We use TypeScript, Java, Rust, and are getting ready to add C++ to the mix, so deep knowledge of at least one of these is required. Understanding that creating a readable and maintainable codebase is sometimes more desired than the most elegant solution. Familiarity with the GIS domain and coordinate systems. Interest in maps, geocoding, and routing. Fluency in English and communicativeness even in a remote work environment. Nice to have Knowledge of Python, Ansible, and Bash scripting. Experience with Docker. Knowledge of OSM data-processing tools (eg. Osmium). Familiarity with the OpenStreetMap data structures (tagging schema). Hands-on experience with using AI agents to contribute to existing codebases. Experience with prompt/context or even harness engineering. What we offer Competitive financial compensation based on your experience (20-33€/hour) & annual performance bonus. Widescreen LCD, a laptop of your choice, and all the resources you need for your work. Flexible working hours to help you easily balance your personal and professional life. Work remotely from anywhere in Europe, or hang out with us at our hubs in Brno (Czechia) or Unterägeri (Switzerland). Collaborate with the best from major global brands to innovative open-source projects . Grow your career with dedicated support for continuous learning, attending conferences, and building your personal brand. A friendly, connected team and regular team-building events across Europe. About MapTiler We make maps easy so that everyone can understand the world better. Our platform powers everything from global weather forecasting and humanitarian crisis management to flight trackers and the Swiss railways. Our maps are viewed by hundreds of millions of people worldwide every month. We are deeply rooted in the developer and open-source communities. Since our users and customers are primarily developers, engineers, and geo-experts, we don't do traditional corporate account management. Instead, we build technical partnerships. To apply: https://weworkremotely.com/remote-jobs/maptiler-location-services-engineer-maps-platform-remote-in-europe",programming,We Work Remotely,"Tue, 21 Jul 2026",,
Senior Software Engineer,Stellar AI,Remote,"Headquarters: London URL: https://joinstellar.ai/ We are seeking experienced Software Engineers to contribute to projects across a wide range of technologies and programming languages, including JavaScript, Python, Go, C++, Ruby, and more. This is an open-ended contract opportunity, structured around project-based work with no set schedules or minimum time or task commitments. Contributors who work with us decide which available projects they'd like to work on, when they work, and how much they contribute, which makes it an excellent option for those seeking flexible and high-impact work. In this role, you will help advance AI research by understanding complex systems, exploring large codebases, and developing approaches to verify the correctness of software behavior. Compensation $70 per hour after passing the qualification Fully remote Project based work, no minimum time or task commitments Responsibilities Rapidly build context in large, multi-module codebases Analyze feature implementations for correctness and edge cases Produce clear, structured documentation of findings and rationale Requirements Bachelor's degree in Computer Science or a related field At least 2 years of experience as a Software Engineer Excellent written communication skills Ability to clearly explain complex technical concepts Location Remote in the US, UK, Canada, Europe, Australia, or New Zealand To apply: https://weworkremotely.com/remote-jobs/stellar-ai-senior-software-engineer",programming,We Work Remotely,"Tue, 21 Oct 2025",,
Software engineer,Sticker Mule,Remote,"Headquarters: New York, NY URL: https://www.stickermule.com Sticker Mule is building the Internet's most lucrative commerce platform by combining software, manufacturing, and AI into one fully integrated stack. No print company, or pure software company for that matter, can match what we're doing. We're privately owned, profitable, and doing 9-figures in annual revenue with no meddlesome investors. How we work Small, autonomous teams that own products end-to-end. Prioritize what matters right now and pivot instantly when needed. Ship across web and mobile from the same codebase. We use Go, TypeScript, React, Expo, GraphQL, Postgres, and run on GCP. Use AI aggressively to push the limit of what we can do. Move fast, build for the masses, and deprioritize edge cases. Fully remote from 40+ countries and collaborate using Asana and Slack. Requirements You are an exceptional full-stack software engineer. You use AI aggressively and write well in English. What you will work on You'll help build and scale Sticker Mule Pro — a suite of software tools for creators and businesses: Stores (Shopify alternative) AI tools (internal and customer-facing) Notify (Mailchimp alternative) Reply (Zendesk alternative) Hire Me (Contra alternative) Mobile apps Compensation Salary: $150,000–$250,000 USD $20,000 signing bonus 4 weeks vacation + country-specific holidays Fully remote To apply: https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-3",programming,We Work Remotely,"Thu, 14 May 2026",,
"Technical Sales Enablement Manager, Partners",Druva,Remote,"Headquarters: Santa Clara, CA, Remote, US URL: http://druva.com About Druva Druva is the resilience foundation for the AI enterprise, helping organizations secure and recover from connected risk across data, cyber, identity, and AI. The Resilience Cloud is a fully managed, cloud-native SaaS platform that delivers air-gapped and immutable protection across cloud, SaaS, on-premises, endpoint, and edge environments. Powered by Dru MetaGraph, Druva’s graph-powered intelligence layer, the platform connects critical business context so customers can understand risk, respond faster, recover cleanly, and govern data with greater confidence. Trusted by nearly 7,500 customers, including 75 of the Fortune 500, Druva helps safeguard the critical information and systems businesses depend on in an increasingly connected world. Visit druva.com and follow us on LinkedIn , X and Facebook . About the Team The Sales Enablement Team drives the technical success of our global partner ecosystem. This role is the dedicated technical arm, ensuring partner Sales Engineers (SEs) and pre-sales teams have the advanced knowledge, lab environments, and formal certifications to independently position, deploy, and support Druva solutions. The team acts as the strategic link between Channel Sales, Product Management, and internal Technical Enablement. Role Purpose & Impact The Technical Sales Enablement Manager, Partners (IC) strategically owns and executes the global technical partner enablement program. The core purpose is to design a best-in-class technical curriculum (L1/L2 certifications, POC readiness, Homerun lab) to transform partner SEs into self-sufficient technical experts. The key impact is a significant increase in the partner-led POC win rate and a reduction in reliance on internal Druva SE resources. What You’ll Do Own the strategy, design, and execution of the global technical partner enablement program with Channel Leadership Drive technical enablement for partner SEs and pre-sales teams: demo certification, POC readiness, and hands-on lab programs Design and deliver Partner Technical Certification L1 and L2 tracks to ensure partner SEs can independently demo and position Druva Build and maintain all partner-specific technical training content, including architecture guides, deployment scenarios, and competitive positioning Own the Homerun lab environment and structured demo scenario library to reduce reliance on Druva SE resources Lead coordination of partner enablement events, webinars, and continuous learning sessions Manage the Partner Portal's technical enablement content, ensuring accuracy and accessibility Define, track, and report on key technical metrics (e.g., demo certification rate, POC win rate, L1/L2 completion) to correlate with partner productivity Partner with internal Enablement leadership to align technical content and certification standards What Makes You a Great Fit 5+ years in Technical Enablement, Sales Engineering (SE), or Technical Training, including 2+ years specifically in Partner/Channel SE enablement for enterprise SaaS/Cloud Deep technical expertise in Cloud Data Protection, Cyber Resilience, or related security/infrastructure solutions (e.g., AWS, Azure, VMware, Kubernetes) Proven experience designing and launching technical L1/L2 certification tracks for partner SEs Expertise in building and managing technical lab environments (e.g., Homerun, POC) and structured demo scenario libraries Skilled in creating high-quality technical pre-sales content, including architecture guides, deployment scenarios, and competitive technical battlecards Exceptional ability to translate complex technical concepts into clear, actionable training for highly technical audiences Results-oriented, highly organized self-starter who thrives in dynamic, high-growth environments Bachelor's degree in Computer Science, Engineering, or equivalent practical experience What Success Looks Like in the Role Success is architecting a highly competent, high-performing partner network, which requires: Measurably increasing Partner SE demo certification rate and Technical L1/L2 completion year-over-year Establishing a clear correlation between enablement and increased partner-led POC win rate and overall bookings Achieving SE dependency reduction by maximizing independent partner use of the Homerun lab and demo library Maintaining 100% currency of all core technical training materials Driving high partner satisfaction and adoption of enablement programs Why You’ll Love Working Here Innovation is how we operate, not a side project. You’ll work in a culture that values bold thinking and continuous improvement, where global teams experiment, iterate, and turn new ideas into products customers can rely on. If you’re looking for high-ownership work, visible impact, and a culture that values innovation, collaboration, accountability, and growth—where you’ll be trusted to lead and empowered to build—you’ll thrive at Druva. What We Offer The pay range for this position is expected to be between $123,000 and $172,333/year; however, base pay offered may vary depending on multiple individualized, non-discriminatory factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other incentive compensation opportunities in the form of discretionary annual bonus or commissions, and equity. Additionally, full-time employees are eligible to participate in our comprehensive benefits program, including health and wellness benefits, 401(k) retirement plan, life and disability insurance coverages, and other benefits the Company may offer from time to time. Data Privacy Notice for Job Candidates: For information on personal data processing, please see our Druva Privacy Policy Druva is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status, or any other category protected by law. If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at recruiting_us@druva.com EEO IS THE LAW NOTIFICATION OF EMPLOYEE RIGHTS UNDER FEDERAL LABOR LAWS To apply: https://weworkremotely.com/remote-jobs/druva-technical-sales-enablement-manager-partners",product,We Work Remotely,"Tue, 04 Aug 2026",,
